id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
6,35.6833,139.7667,42192,aba755c1-cc82-49be-995d-bbe5d663da07,7.551457687356468,0.028939287004183915,39541,36891,34240,31589,28939
9,55.7517,37.6178,1384,7dd8b505-7f11-4f39-921a-d872bd6af522,0.1484741139616551,0.01051751834102943,3211,5037,6864,8690,10517
10,59.32,18.09,8335,d3e7f13b-dbc6-443f-9885-57cc875e398a,1.5976704106502095,0.01184495988552102,9037,9739,10441,11143,11844
11,51.5171,-0.1062,44338,d54f0565-c38f-441b-9438-52b3cf62ddea,10.60043174289884,0.01830935099346429,39132,33926,28720,23515,18309
12,32.7828,-96.8039,1381,f8077537-4eb9-4282-a920-e71a8a445b64,0.2638744703076247,0.028201641694684657,6745,12109,17473,22837,28201
15,25.765,-80.2,1382,c58a4fd7-4407-4357-a8e4-90ba0f557921,1.2113536468124546,0.02770067131624805,6645,11909,17173,22436,27700
16,38.9694,-77.3864,17432,1f6fc561-6db8-40a8-8b98-3baac8d70728,12.023733010598091,0.022196643392102113,18384,19337,20290,21243,22196
19,53.3478,-6.2597,91614,37f308b5-9ef6-4197-9b8f-f0dd88898b64,4.663037535280464,0.018242839113705413,76940,62266,47591,32917,18242
29,50.1167,8.6833,75754,ef725762-02a8-43e3-b7a1-522fa1cfe678,0.1480631150516148,0.018980923367372015,64400,53045,41690,30335,18980
30,37.5483,-121.9875,18553,513bce87-a07c-44ac-a06a-f6dae934830a,24.62228584070785,0.02494259523310463,19831,21108,22386,23664,24942
32,52.23,21.0108,25351,3de08a07-04a1-4dc1-a53c-8e067e30d808,2.825256231278758,0.010879818383174285,22456,19562,16668,13774,10879
36,3.1333,101.6833,102984,a464149f-5375-48da-981f-aba664746c65,316.20261843560445,0.02767472671774731,87922,72860,57798,42736,27674
