id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
2,43.6481,-79.4042,789,ea3b2a3c-07d0-481f-8919-2d258d7acf3e,6.498297689364551,0.013054400351017797,3242,5695,8148,10601,13054
4,48.8742,2.347,30164,7eb54986-5dbd-44b2-8abe-517df5b1f6e7,123.84254698752336,0.007044855690242308,25540,20916,16292,11668,7044
6,35.6833,139.7667,40045,f8e65174-0e3f-461f-b6cb-44c52eed74c0,44.27452383120723,0.0329782725171207,38632,37218,35805,34391,32978
10,59.32,18.09,12302,d97eb7f5-ac44-4c30-b173-373604478b30,1.5976704106502095,0.008893933867913864,11620,10939,10257,9575,8893
11,51.5171,-0.1062,17754,9843a02c-2d56-4713-bc77-943e224e109c,46.42833978552278,0.007183325247736597,15639,13525,11411,9297,7183
15,25.765,-80.2,655,c04a8b1e-0f4d-4d99-9d21-7484de523d9d,95.77365673794526,0.016871548429531306,3898,7142,10385,13628,16871
16,38.9694,-77.3864,171272,434542dc-6b41-4365-8a44-0b3f096bcc04,38.330481287318904,0.013958544388156004,139809,108346,76884,45421,13958
18,33.7489,-84.3881,590,cf5ddb0a-ba1f-408f-80da-71c24ebd9222,0.0144611698341464,0.015201491726225874,3513,6435,9357,12279,15201
19,53.3478,-6.2597,83228,90e3cd0b-5dea-4ef0-8b13-40d93d4c1fee,4.663037535280464,0.0074317452067319606,68069,52910,37750,22591,7431
20,48.2088,16.3726,44,1873f6e8-c3f4-4f15-bc71-644d85883871,12.70560738366573,0.007741035496691566,1583,3122,4662,6201,7741
24,47.6097,-122.3331,9253,0b4af23a-f61a-474f-9605-5a56a3fe2953,0.3963374761613102,0.015492442365676476,10500,11748,12996,14244,15492
27,45.464,9.1916,17120,80371280-f57b-4f64-96fa-df8888c252c3,0.1671360964144058,0.007771986835250038,15251,13381,11511,9641,7771
28,46.0556,14.5083,20,03784616-1ecb-43e9-84df-d2286d7526a1,82.73577717942813,0.007814652632824416,1579,3138,4696,6255,7814
29,50.1167,8.6833,84467,815455e1-4f40-4429-b47d-96e8b492ebc3,4.122422924672918,0.007320796487566866,69038,53608,38179,22750,7320
30,37.5483,-121.9875,5085,8dc30186-bf75-4a5b-be38-371ca885aaf9,26.178762732505646,0.017652420065445873,7598,10112,12625,15138,17652
32,52.23,21.0108,68,3ef7c82a-0833-48c4-b526-6f8b375f3fc6,2.825256231278758,0.008251393361748882,1705,3341,4978,6614,8251
35,47.369,8.538,869,12025d1a-6535-490e-8162-cfdf766ec15e,20.785209498305164,0.007488841813930495,2193,3517,4841,6165,7488
36,3.1333,101.6833,44789,e5d63ac1-3bd4-43f8-bdc7-46f3b14105f4,328.65752868948937,0.03443670232328532,42719,40648,38577,36507,34436
37,34.0522,-118.2428,1650,d702f979-5a48-4817-9e86-401126a6248d,0.082915390597005,0.017782831382083208,4876,8103,11329,14556,17782
42,-33.9767,18.4244,19631,cfdcee0a-2d16-4f2e-bc34-1c776debf661,5.660911777977078,0.03940468934337617,23585,27540,31495,35449,39404
45,60.21,24.66,28782,f966b0b2-ca25-43a8-a768-9903e4acf770,15.875757861029603,0.00957207989016194,24940,21098,17256,13414,9572
