id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
0,-7.0833,-34.8333,370,e87bfdb2-35b6-4408-a658-1346bbb0307c,558.23372176088,0.012862580021157248,1619,2868,4117,5367,6616,645,1079,1726,2630,3815
1,-37.7833,144.9667,7589,cb82d7a2-0924-491f-84a2-ecefb91f3325,255.40650019021345,0.044524693633072,11283,14976,18670,22363,26057,11077,15512,20757,26469,32143
2,43.6481,-79.4042,137726,421a0af5-872b-4133-be1e-abb7758ae74d,86.33313135559293,0.004370366291574485,124391,111055,97719,84384,71048,119269,99103,78685,59536,42898
3,50.0833,14.4167,33876,2b8f46a1-66f7-40f3-a772-13ce2b487341,113.5643836708033,0.006886295068646779,31177,28478,25779,23080,20381,35323,35341,33786,30782,26706
4,48.8742,2.347,309885,a41c56a6-f085-4055-880d-12f760df8abf,163.719756145892,0.004884783652245688,279385,248885,218385,187885,157385,250222,193865,143521,101256,68029
6,35.6833,139.7667,29063,ac1e94c5-7a95-434f-abdc-d81b5e9c9d99,32.847569879210994,0.018745481827390047,28031,26999,25967,24936,23904,34014,38196,40985,41911,40812
8,-36.8404,174.7399,3146,5448256f-8413-4701-98cf-98b89c8b9a3c,2.285057118775774,0.04716465698578578,7548,11950,16352,20754,25155,5044,7759,11403,15971,21302
9,55.7517,37.6178,7589,5d500495-472f-45ea-81b3-c5d80df0d97f,165.66927914323404,0.009479018643065504,7778,7967,8156,8345,8534,9489,11384,13050,14256,14830
10,59.32,18.09,69788,afc7a86f-31b3-4b70-987d-9cf6d82955b7,71.16558903767759,0.006449192612097256,63454,57121,50787,44453,38119,67254,62187,54944,46263,37095
12,32.7828,-96.8039,19437,9f6afaa1-9b56-48b5-9611-aa40b38c9583,51.256437513170646,0.00667302485693055,18160,16884,15607,14331,13055,21358,22518,22686,21780,19913
