id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
1,-37.7833,144.9667,525,42f8ad12-cd26-444b-b899-7bf46f92f4c1,4.276020286199781,0.08094801906022991,16609,32694,48778,64863,80948
2,43.6481,-79.4042,1420,48bf3a04-9b11-4284-b92a-8c8460399a63,1.811067053708997,0.013297475927688334,3795,6171,8546,10921,13297
3,50.0833,14.4167,4982,858d6328-4300-4a25-8f79-9d653935c8a8,3.601065795089078,0.0068767437101567045,5361,5740,6119,6497,6876
4,48.8742,2.347,4948,07ba2485-4e40-46dd-a416-875cb38f7eed,10.074473407599696,0.006680861506993531,5294,5641,5987,6334,6680
6,35.6833,139.7667,90720,06740bd5-af03-47ef-9e63-7b4a127a2926,20.24641786431475,0.02820684807674581,78217,65715,53212,40709,28206
9,55.7517,37.6178,18080,8a6f2e3d-8f41-459c-8894-a4b18f5f2fb2,44.453192968795896,0.01201254761784062,16866,15653,14439,13226,12012
10,59.32,18.09,4368,803e7884-5f5d-451d-996e-3822c534a6da,5.869264403718923,0.007624315687633484,5019,5670,6322,6973,7624
11,51.5171,-0.1062,80470,232dd421-9318-4763-9982-c33799a8e8f5,27.886817124368033,0.006810280848134356,65738,51006,36274,21542,6810
12,32.7828,-96.8039,7078,0554da9b-dfd9-47b9-a393-bb59c7074350,5.4931774699928235,0.016650858725252828,8992,10907,12821,14736,16650
13,40.7269,-73.6497,89439,07bd6cee-2820-4289-9e9d-6c5517f7d5aa,28.809548267808815,0.012995836237280706,74151,58862,43573,28284,12995
14,42.3583,-71.0603,7256,9aa3ea95-0828-4429-ae39-6f25e8a55e6e,0.6794079415447942,0.013186820095305953,8442,9628,10814,12000,13186
15,25.765,-80.2,5906,d416c2ec-9818-4766-9ec2-f99b9a33fd1d,1.0394282196959517,0.01729799996047378,8185,10463,12741,15019,17297
16,38.9694,-77.3864,972,b2ca30dc-22ee-4cfb-bc23-b31b53403edd,4.0823667557243875,0.01286948139886768,3351,5731,8110,10490,12869
18,33.7489,-84.3881,95,2fb88bec-30f7-4428-a8f1-955ba8a71f35,0.0528410091813359,0.014375651237001233,2951,5807,8663,11519,14375
19,53.3478,-6.2597,28674,cedc4b24-44ac-48ed-a4fa-277d90845f93,2.4045254173870063,0.007621117199830853,24463,20252,16042,11831,7621
20,48.2088,16.3726,7552,7feb18de-9d3c-483d-b4f9-4094fa471e4b,0.0397947772312836,0.0071344699058414965,7469,7385,7301,7218,7134
22,41.85,-87.65,26464,d84db8cc-12c8-4cfb-be7d-0ddc9a4da945,50.66634873135981,0.012762263133782972,23723,20983,18243,15502,12762
24,47.6097,-122.3331,1437,b212be2d-744f-427d-9f78-099f23e0e194,25.384369935931776,0.02167602997232944,5485,9532,13580,17628,21676
27,45.464,9.1916,25,c19e6cb9-1613-490f-9971-a1f512052523,40.04740636619834,0.006707790853152462,1361,2698,4034,5371,6707
29,50.1167,8.6833,281746,2b49eccf-557b-41d0-930a-388194cf62fa,33.365383686135495,0.006868484307682921,226770,171795,116819,61844,6868
30,37.5483,-121.9875,4738,0a3c8495-def2-4dfd-bcc5-2109d087257e,12.74167709702534,0.02526609155216921,8843,12949,17054,21160,25266
32,52.23,21.0108,8423,392b39bb-56d3-4449-890c-f13870485384,169.63771171015873,0.007231125234206257,8185,7946,7708,7469,7231
34,50.45,30.5233,6799,75bfcb8f-d10d-45e2-a4b5-c7733416f449,222.2938941491199,0.00946331026599444,7331,7864,8397,8930,9463
36,3.1333,101.6833,22713,ea35767f-c094-455e-8794-dbccd57c1c67,316.19720932986826,0.030303735278656856,24231,25749,27267,28785,30303
37,34.0522,-118.2428,25006,a401580c-a041-4b87-8dbc-957b7f40959a,0.1097394077503304,0.025235476844059246,25052,25098,25143,25189,25235
44,38.7,-9.1833,201,2da5896f-a1bc-4974-888c-e2b0c1c16f1d,316.7919453973557,0.009488363465146707,2058,3916,5773,7630,9488
45,60.21,24.66,147,db33e84e-3d35-4819-a71f-dcc61d7f3856,15.877709748309288,0.008197943607750264,1757,3367,4977,6587,8197
51,29.4239,-98.4933,105,c1b2844f-d6c0-4634-9350-620cf79140a0,160.2321428766628,0.018679789695917964,3820,7535,11250,14964,18679
52,45.5081,-73.555,8423,0b0aca35-115d-467c-aae9-395e5283f4de,2.5578120340211847,0.012954781180392899,9329,10236,11142,12048,12954
54,50.69,3.1817,60028,1902666c-0de7-4e40-a261-be3be670f4bc,0.6571314038898325,0.006476890991385966,49318,38607,27897,17187,6476
66,41.0128,28.9744,816,8ba310e3-5b2d-49f1-89bd-c8de118bbea6,134.63754863834671,0.012818941303738039,3216,5617,8017,10418,12818
70,-33.0333,-71.5417,111,a76f0509-bf5c-4004-9ea8-39b8218a2daf,95.49848202895024,0.04248779105714088,8586,17062,25537,34012,42487
72,22.3,114.1667,6136,8ea285bb-20e3-4e06-9aa4-f109f1182301,1.8577321388236103,0.025056587020422245,9920,13704,17488,21272,25056
81,42.3314,-83.0458,989,97a03669-1139-4e60-91f2-41d38c975a2f,20.76372926648869,0.01255193387080521,3301,5614,7926,10239,12551
82,45.5236,-122.675,1025,f3d395d1-de39-46c8-84f7-2a27488edf1b,105.45747326195882,0.021926871204277245,5205,9385,13566,17746,21926
86,40.75,-111.8833,36618,29e058e3-f289-4d7f-bd6e-a3c583e295f3,44.71659147415376,0.01732163030266948,32758,28899,25040,21180,17321
90,38.63,-90.2,299,d0730419-919f-484c-98d8-eabbaa9f0b94,3.365202656760809,0.0131693920960624,2873,5447,8021,10595,13169
94,40.4,-3.6833,6767,55644560-0e9f-419c-8727-78ee6bb263da,3.903127338054888,0.008301221071041053,7074,7381,7687,7994,8301
97,27.9472,-82.4586,1440,2d0a6367-6c42-49c4-b0f9-1ac3bff3e28a,18.175275108072963,0.016622116843977842,4476,7513,10549,13585,16622
106,42.2383,-91.1869,87,cac4e168-8c4e-44a6-87d1-1f78de72def2,327.7165768619831,0.013065443684040891,2682,5278,7874,10469,13065
110,35.6008,-82.5542,1534,f65952c0-9de6-4136-a2b5-9ed854626362,155.5043404971942,0.014000590874839859,4027,6520,9014,11507,14000
113,37.5665,126.978,981,436ab82e-69c2-413e-a379-a36258f030ab,0.0732952770971959,0.024363999346235045,5658,10334,15011,19687,24363
119,34.6939,135.5022,512,640536b5-51a6-435c-96ec-551d7291a503,164.87431407217844,0.028021614786388288,6014,11516,17017,22519,28021
127,56.9489,24.1064,57704,0f589c8f-e3fd-4431-bc85-fb33c0193af7,156.00427992511538,0.007706819717426842,47704,37705,27705,17706,7706
129,59.95,10.75,15224,fdd8c38b-d4e7-4083-a08f-223144948e22,49.53521023740875,0.007664307232271386,13712,12200,10688,9176,7664
140,29.9667,-90.05,2135,3d510e98-9ed5-4c7f-b518-5fe57cabda24,110.81287390725564,0.01644724789430257,4997,7860,10722,13584,16447
142,35.1107,-106.61,10977,5f472cd5-351b-4c76-8f57-8fce6c9821da,82.03967823265975,0.019063516947080607,12594,14212,15829,17446,19063
149,59.95,30.3,2101,0a5cd5b0-1047-4e19-bbf7-2004da297c88,15.151224935457211,0.010328960905774062,3746,5392,7037,8683,10328
150,45.8167,15.9833,2887,e853edea-3d90-48d4-b643-fe901a3d3fa4,1.3076725521023562,0.0066865860607293335,3647,4406,5166,5926,6686
154,42.7,23.3333,847,19fa5ffe-b5b5-4cd5-abba-c81e90001874,147.8715689979401,0.007963614862864612,2270,3693,5117,6540,7963
163,43.2181,-123.3561,14065,69cbb6b6-1570-4d27-8dfb-9010460f793f,213.85258352871008,0.023377370348129475,15927,17790,19652,21515,23377
175,-26.2044,28.0456,710,b4952ee2-0429-4f74-990d-813b956ecc99,4.089082858431389,0.03923386428299902,8415,16120,23824,31529,39233
176,55.0167,82.9333,1184,0b7f4d32-4034-43a2-9477-8ea887e40f82,205.6812569704181,0.013159347811508593,3579,5974,8369,10764,13159
177,20.667,-103.35,1140,4d1a3273-1e01-4d8a-a368-a1caefb5874f,306.32525761011783,0.0223605624150153,5384,9628,13872,18116,22360
184,40.4397,-79.9764,4107,a65f5819-becd-462c-920e-0d9d17d567f0,3.599176053947656,0.012615971865853634,5809,7510,9212,10914,12615
187,55.9531,-3.1889,498,54546fb6-6b29-4397-9734-4344d3085d50,63.30488464817668,0.007961362955260322,1991,3483,4976,6468,7961
190,41.9,12.5,606,b7e11f4e-3ffd-4833-add5-c1f9c2702c0a,91.19508117459402,0.007494390370600189,1983,3361,4739,6116,7494
193,41.326,19.816,813,2e58238d-753a-4035-9019-75dd2b0a5d35,0.2932887755575767,0.007963606739403007,2243,3673,5103,6533,7963
194,55.7903,49.1347,964,41e5fdae-eed7-4ea3-a3b5-a37bd18784aa,572.1548390666034,0.011122515135002559,2996,5027,7059,9090,11122
203,53.5653,10.0014,15611,b36595b4-cce2-4a0a-8210-e43638b5a7fc,100.67470469224313,0.006842373304004282,13857,12103,10349,8596,6842
206,54.35,18.6333,93,3a992476-5778-4d68-9bce-d7ff5eb7027e,136.96778073204842,0.007073276234938962,1489,2885,4281,5677,7073
235,43.0481,-76.1474,8590,61c8c2fe-8a79-4006-9de2-fecafa41a6f3,110.8701292610304,0.012686448166975239,9410,10229,11048,11867,12686
238,-15.7942,-47.8822,705,67dfda2f-f92f-42a2-bee3-fa5ca4025044,871.8666116746527,0.02973718692612769,6511,12318,18124,23930,29737
240,45.7581,4.7651,2956,abf241e9-ebf8-4e66-9a53-338154160904,253.94726955220068,0.006901132784188926,3745,4534,5323,6112,6901
