id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
4,48.8742,2.347,8778,41b93f1f-9993-40bb-87ce-43a8d4113237,7.350139883095803,0.007971101361286334,8617,8455,8294,8132,7971
6,35.6833,139.7667,60749,34143732-9aa4-49ef-847d-08d3ee6ed00a,0.0,0.06037697374539923,60675,60600,60526,60451,60376
7,52.3,4.7,67685,55db3a51-0b32-4c51-abbc-f2b0625edf71,0.0,0.007364374665428202,55620,43556,31492,19428,7364
11,51.5171,-0.1062,106224,5e115c5b-9a8e-4357-9b74-a8ff3e95040e,0.0,0.008213775882559204,86622,67020,47417,27815,8213
13,40.7269,-73.6497,35642,bbe4e05e-a43d-424e-829e-636fde14c81b,0.0,0.0273637295770027,33986,32330,30675,29019,27363
16,38.9694,-77.3864,36520,fd34609e-b059-49f5-93ca-0268e6c8c344,0.0,0.02787721467223937,34791,33062,31334,29605,27877
19,53.3478,-6.2597,34764,d0abede8-724d-493f-81a2-4dd9c6846ece,0.0,0.00996866014334232,29805,24846,19886,14927,9968
20,48.2088,16.3726,9920,8f1bb15f-4b84-4d23-a5e8-904e64599983,0.6918243343923127,0.010349119683118671,10005,10091,10177,10263,10349
22,41.85,-87.65,4038,85108d48-2c06-4a31-adbb-1f1a7a7118c9,0.0,0.030219859175521176,9274,14510,19747,24983,30219
24,47.6097,-122.3331,3423,fe028100-7cc7-4069-9cef-045b81e53aa4,0.0,0.0361040020243992,9959,16495,23031,29567,36104
29,50.1167,8.6833,100605,0b4e3f7a-d031-4900-85e0-1897a8050385,0.0,0.007077768388080581,81900,63194,44488,25783,7077
30,37.5483,-121.9875,47230,56c390bb-fbd1-4b11-bd88-8a6783951b28,21.782223690977816,0.03935935222061927,45656,44081,42507,40933,39359
32,52.23,21.0108,3248,262a0e37-fe77-48b9-a4f0-89975f7066f5,0.0,0.013111438406103723,5220,7193,9166,11138,13111
35,47.369,8.538,27214,90f8ca17-1d3a-40e9-81d5-14413f9fdcf6,24.62832249576223,0.00779936343017802,23331,19448,15565,11682,7799
36,3.1333,101.6833,48020,689b5c3a-9902-499b-80c1-f0201a8d1000,302.1807042666476,0.05900449662898226,50217,52414,54610,56807,59004
45,60.21,24.66,7637,9d03ef2e-0df6-436f-b582-b508658f8a14,0.0,0.013574632903865076,8825,10012,11199,12387,13574
52,45.5081,-73.555,41962,12ce6878-40c8-41b1-8753-8eb160b83902,231.8371164400388,0.026668989323969064,38904,35845,32786,29727,26668
54,50.69,3.1817,26599,6b690965-a79f-4825-a22b-573f1f487984,0.0,0.007499927901989104,22779,18959,15139,11319,7499
61,49.6833,6.1167,30462,671758cd-7c8e-444d-bbb5-3c96c2ab6b3f,15.03779882053526,0.007205053026105934,25811,21159,16508,11856,7205
72,22.3,114.1667,8954,cd6c2827-19dc-46f5-a82d-b2da61473ae6,0.0,0.05006414400333288,17176,25398,33620,41842,50064
80,39.9611,-82.9989,3248,f9775389-c8aa-43ee-8fa0-cc6e687b28d0,51.323033881818624,0.02792714359294867,8183,13119,18055,22991,27927
82,45.5236,-122.675,2897,3f8bfbad-503c-4f22-894e-568f6569d8ff,0.0,0.03669596688492312,9656,16416,23176,29936,36695
86,40.75,-111.8833,12641,a4884ce3-5db4-4f0b-a2e7-a09291ce5fac,0.0,0.03469179517014888,17051,21461,25871,30281,34691
90,38.63,-90.2,2809,c84cbc98-9612-4114-841b-f02b0cda00c8,160.48810372185332,0.029392464886643696,8125,13442,18759,24075,29392
95,25.0333,121.5333,10183,01e97841-2291-4004-9d4f-e53d8d65f12a,0.0,0.05430817066558924,19008,27833,36658,45483,54308
111,18.5236,73.8478,9217,6f60e123-ee17-4953-ad19-f6db76080950,0.0,0.04266475324492795,15907,22596,29285,35975,42664
113,37.5665,126.978,26248,71023286-2645-41b2-866d-2eaae634dbd1,13.501960715351824,0.0531869134043882,31636,37024,42411,47799,53186
127,56.9489,24.1064,95689,dec94241-407d-4540-9886-ec9808383afe,153.4267873367185,0.014491499057443536,79449,63210,46970,30731,14491
129,59.95,10.75,3335,1179e52a-da34-45e5-8995-0513fe684153,0.0,0.009825846341942541,4633,5931,7229,8527,9825
130,40.5456,-74.4608,17030,1f318df4-28fa-4f78-8564-82f5ee696d00,54.38645483594782,0.027375499856182307,19099,21168,23237,25306,27375
140,29.9667,-90.05,7549,093dc7da-e1f5-4883-a2d3-ad721e3d7cb1,0.0,0.03334185628124642,12708,17866,23025,28183,33341
147,48.1439,17.1097,8603,c8229d8b-45e0-48c3-8842-aced75b5ea9b,19.963046320219885,0.012549358306143543,9392,10181,10970,11760,12549
153,51.2333,6.7833,13958,a0f5a107-aa3e-4242-98ef-91e09086f2a9,0.0,0.00708336175305048,12583,11208,9833,8458,7083
154,42.7,23.3333,9130,7e7d6197-7dda-4791-a5ba-9a49f4a9d113,294.94495069634183,0.016113998561134022,10526,11923,13320,14717,16113
158,49.45,11.0833,3072,771cb8f3-114c-4152-ad7a-bd2bdbab5fbb,0.0,0.007333468184535001,3924,4776,5629,6481,7333
177,20.667,-103.35,2282,ee1f5552-d65d-43f4-ba50-73ea1ebd84cc,308.3591107381852,0.042230215005412984,10272,18261,26251,34240,42230
185,48.5734,7.7521,28355,f8ef2fc9-f46d-4592-8bb9-ff1b3984e49a,0.0,0.007368122951746035,24158,19960,15763,11565,7368
222,12.9716,77.5946,4213,d3daea4a-79a9-4dbe-87a0-f43390d1df47,0.0,0.046292640519156866,12629,21045,29461,37876,46292
259,40.8258,-96.6852,9920,0264d248-b7d2-4a61-989e-3a58225cc150,287.41653812598247,0.03255008638337302,14446,18972,23498,28024,32550
264,50.475,12.365,19928,45d6bc55-19e0-4d24-b040-8426144e1ae7,0.0,0.007402861785541075,17422,14917,12412,9907,7402
